contract_id,effective_start_date,effective_end_date,version_id,contract_name,mg_beginning_balance,pp_beginning_balance,mg_original_paid,licensor_name,created_timestamp,created_by,updated_timestamp,updated_by
142,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Ys 8 - Goods,0,0,0,Nihon Falcom Corporation,2023-06-30T16:31:58.000Z,Nisa Retool,2023-06-30T16:31:58.000Z,Nisa Retool
143,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Ys Anniversary,0,0,0,Nihon Falcom Corporation,2023-06-30T16:39:06.000Z,Nisa Retool,2023-06-30T16:39:06.000Z,Nisa Retool
148,2024-01-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trails of Cold Steel 3&4,400000,0,400000,Nihon Falcom Corporation,2024-02-06T20:40:29.000Z,Nisa Retool,2024-02-06T20:40:29.000Z,Nisa Retool
150,2022-12-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,3,Trails into Reverie (Hajimari) PS5,0,0,500000,Nihon Falcom Corporation,2024-05-03T18:05:29.000Z,Izumi Ebitsuka,2024-06-18T18:38:58.000Z,Izumi Ebitsuka
150,2100-01-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Trails into Reverie (Hajimari) PS5,0,0,500000,Nihon Falcom Corporation,2024-05-03T18:06:17.000Z,Izumi Ebitsuka,2024-06-27T15:45:58.000Z,Izumi Ebitsuka
151,2024-04-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trails through Daybreak - Goods,0,0,0,Nihon Falcom Corporation,2024-05-06T18:00:25.000Z,Izumi Ebitsuka,2024-05-06T18:00:25.000Z,Izumi Ebitsuka
153,2024-06-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Ys 10 - Goods,0,0,0,Nihon Falcom Corporation,2024-07-10T18:42:47.000Z,Izumi Ebitsuka,2024-07-10T18:42:47.000Z,Izumi Ebitsuka
154,2024-06-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Trails through Daybreak 2 - Goods,0,0,0,Nihon Falcom Corporation,2024-07-10T18:48:27.000Z,Izumi Ebitsuka,2024-07-10T18:48:27.000Z,Izumi Ebitsuka
157,2024-09-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Ys 10,1800000,0,1800000,Nihon Falcom Corporation,2024-10-09T15:51:34.000Z,Izumi Ebitsuka,2024-10-09T15:51:34.000Z,Izumi Ebitsuka
159,2025-01-01T00:00:00.000Z,2025-03-31T00:00:00.000Z,1,Trails through Daybreak 2,1500000,0,1500000,Nihon Falcom Corporation,2025-02-06T21:26:02.000Z,Izumi Ebitsuka,2025-05-06T19:09:27.000Z,Izumi Ebitsuka
