,Item,Game Title,Sales (USD),COGS Expense,Royalty Expense,Capitalized Expense Amount (Debit + Credit),AD Promotion,Profit
327,TUN1-PS3,TRINITY UNIVERSE-DLC-EU,36.260000000000005,,5.56,,,30.700000000000006
328,UNI1-PS3,UNDER NIGHT IN BIRTH PS3 PAL,67.72999999999999,,128.34,,,-60.610000000000014
329,UTP1-PS4,UTAWARERUMONO PRELUDE PS4,1073.48,,1109.26,,,-35.77999999999997
330,UTP1-PSV,UTAWARERUMONO PTTF PSV DIGITAL,23.05,,,,,23.05
331,UTZ1-PS4,UTAWARERUMONO ZAN PS4,2010.01,,944.62,,,1065.3899999999999
332,VOT1-NSW,VOID TERRARIUM NSW,1370.68,,,,,1370.68
333,VOT1-PS4,VOID TERRARIUM PS4,68.47,,,,,68.47
334,VOT1-PS5,VOID TERRARIUM PS5,64.61,,,,,64.61
335,VOT2-NSW,VOID TERRARIUM 2 NSW,1055.6499999999999,56.39,,,,999.2599999999999
336,VOT2-PS4,VOID TERRARIUM 2 PS4,441.74,17.4,,,,424.34000000000003
337,WEC1-NSW,WORLD'S END CLUB NSW,1170.83,,4300.99,,,-3130.16
338,WHK1-PS3,WITCH AND 100 SOLDIERS-PS3,46.37,,,,,46.37
339,WHK1-PS4,WITCH AND THE 100 KNIGHT PS4,1090.1100000000001,,,,,1090.1100000000001
340,WHK2-PS4,WITCH AND HUNDRED KNIGHT 2 PS4,2165.7999999999997,,,,,2165.7999999999997
341,WOS4-PS3,WAY OF THE SAMURAI 4 PS3 EU,35.62,,58.96,,,-23.340000000000003
342,YFF-PSV,YOMAWARI NIGHT ALONE PSV US,20.58,,,,,20.58
343,YOM-NSW,YOMAWARI THE LONG NIGHT NSW,3875.2300000000005,,,,,3875.2300000000005
344,YOM1-PC,YOMAWARI NIGHT ALONE,3.52,,,,,3.52
345,YOM1-PSV,YOMAWARI NIGHT ALONE PSV US,49.75,,,,,49.75
346,YOM1-STM,YOMAWARI STEAM,1911.31,,,,,1911.31
347,YOM2-PS4,YOMAWARI 2 PS4 US,838.86,,,,,838.86
348,YOM2-PSV,YOMAWARI 2 PSV US,47.33,,,,,47.33
349,YOM2-STM,YOMAWARI MIDNIGHT SHADOW STEAM,1218.33,,,,,1218.33
350,YOM3-NSW,YOMAWARI 3 NSW,1474.85,,,,,1474.85
351,YOM3-PS4,YOMAWARI 3 PS4,864.15,,,,,864.15
352,YOM3-STM,YOMAWARI 3 STEAM,2508.19,,,,,2508.19
353,YRY1-ANM,YURU YURI 1,8.92,,,,,8.92
354,YSC1-PSV,YS MEMORIES OF CELCETA PSV PAL,50.78,,37.58,,,13.200000000000003
355,YSD1-NSW,YS VIII LACRIMOSA OF DANA NSW,28455.18,14506.27,,,,13948.91
356,YSD1-PS4,YS VIII PS4,6267.68,9.03,10777.62,,,-4518.97
357,YSD1-PS5,YS VIII LACRIMOSA OF DANA PS5,9760.259999999998,703.78,34164.54,,,-25108.060000000005
358,YSD1-PSV,YS VIII PSV PAL,238.32999999999998,,236.45000000000002,,,1.879999999999967
359,YSD1-STM,YS VIII LACRIMOSA OF DANA STEAM,27277.379999999997,,28940.48,,,-1663.1000000000022
360,YSM1-NSW,YS IX MONSTRUM NOX NSW,17241.65,,7782.4800000000005,,,9459.170000000002
361,YSM1-PS4,YS IX MONSTRUM NOX PS4,7589.749999999999,,13145.45,,,-5555.700000000002
362,YSM1-PS5,YS IX MONSTRUM NOX PS5,3346.4700000000003,,34136.44,,,-30789.97
363,YSM1-STM,YS IX MONSTRUM NOX STEAM,22648.77,,25920.480000000003,,,-3271.7100000000028
364,YSN1-NSW,YS 10 NSW,952617.59,294587.92,,,,658029.6699999999
365,YSN1-OTH,GOODS,1599.47,453.09000000000003,1441.23,,,-294.8499999999999
366,YSN1-PS4,YS 10 PS4,162276.97,39691.14,,,,122585.83
367,YSN1-PS5,YS 10 PS5,1013102.97,239648.19,,,,773454.78
368,YUK1-NSW,YURUKILL NSW,732.12,50.82,1748.78,,,-1067.48
369,YUK1-PS4,YURUKILL PS4,72.27000000000001,,,,,72.27000000000001
370,YUK1-PS5,YURUKILL PS5,720.12,,388.44,,,331.68
371,ZGEN-GDS,- NO GAME TITLE -,841.12,22400.39,,,4495.77,-26055.04
372,ZHP1-PSP,ZETTAI HERO PSP,22.669999999999998,,,,,22.669999999999998
