,Title,Item,Platform,Division,Sales Units,Sales Amount,Month,Coop_expense,Paid_PP,Material_COGS,Royalty,Marginal Profit,Game Type
3894,03-2022 : Yurukill,YUK1-GDS-WS-STD1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3895,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero PS4,TCK1-PS4-US-OSL1,PS4,NA Games,,,,,,,,0.0,Physical
3896,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero NSW,TCK1-NSW-US-OSL1,NSW,NA Games,,,,,,,,0.0,Physical
3897,Goods,TFZ1-OTH-WS-PUZ1,OTH,NA Games : NA Games-STORE,,,,,,,,0.0,Goods
3898,Goods,DGA1-OTH-EU-ABK1,OTH,EU Games : EU Games-STORE,,,,,,,,0.0,Goods
3899,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero NSW,TCK1-NSW-EU-CART,NSW,EU Games,,,,,,,,0.0,Physical
3900,03-2022 : Cruel King and Great Hero : Cruel King and Great Hero NSW,TCK1-NSW-US-CART,NSW,NA Games,,,,,,,,0.0,Physical
3901,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-DX-BLX,NSW,EU Games,,,,,,,,0.0,Physical
3902,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-DX-UK,NSW,EU Games,,,,,,,,0.0,Physical
3903,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-DX-FR,NSW,EU Games,,,,,,,,0.0,Physical
3904,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-DX-AU,NSW,EU Games,,,,,,,,0.0,Physical
3905,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-DX-IT,NSW,EU Games,,,,,,,,0.0,Physical
3906,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-DX-SP,NSW,EU Games,,,,,,,,0.0,Physical
3907,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-DX-DE,NSW,EU Games,,,,,,,,0.0,Physical
3908,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-DX,NSW,EU Games,,,,,,,,0.0,Physical
3909,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-ASM-BLX,,EU Games,,,,,,,,0.0,
3910,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-ASM-UK,,EU Games,,,,,,,,0.0,
3911,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-ASM-FR,,EU Games,,,,,,,,0.0,
3912,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-ASM-AU,,EU Games,,,,,,,,0.0,
3913,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-ASM-IT,,EU Games,,,,,,,,0.0,
3914,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-ASM-SP,,EU Games,,,,,,,,0.0,
3915,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-ASM-DE,,EU Games,,,,,,,,0.0,
3916,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-ASM,,EU Games,,,,,,,,0.0,
3917,03-2023 : Monark : Monark NSW,MON1-NSW-EU-VG-ASM_(DEFUNCT),,EU Games,,,,,,,,0.0,
3918,03-2023 : Monark : Monark NSW,MON1-NSW-US-VG-SE,NSW,NA Games,,,,,,,,0.0,Physical
3919,03-2023 : Monark : Monark NSW,MON1-NSW-US-VG-ASM,,NA Games,,,,,,,,0.0,
3920,03-2022 : NIS Classics Volume 2 : NIS Classics Volume 2 NSW,NAC2-GDS-EU-ABK1,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
3921,03-2022 : NIS Classics Volume 2 : NIS Classics Volume 2 NSW,NAC2-GDS-WS-ABK1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3922,03-2022 : NIS Classics Volume 2 : NIS Classics Volume 2 NSW,NAC2-GDS-EU-VG-PE-BOX,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
3923,03-2022 : NIS Classics Volume 2 : NIS Classics Volume 2 NSW,NAC2-GDS-WS-VG-PE-BOX,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3924,03-2022 : Cruel King and Great Hero,TCK1-GDS-US-DLC1,GDS,NA Games,,,,,,,,0.0,Components
3925,03-2023 : Monark : Monark NSW,MON1-NSW-EU-CART1,NSW,EU Games,,,,,,,,0.0,Physical
3926,03-2023 : Monark : Monark NSW,MON1-NSW-US-CART1,NSW,NA Games,,,,,,,,0.0,Physical
3927,03-2022 : Soul Nomad (PC) : Soul Nomad STEAM,NACA-TOM-PC-VG-SE,TOM,PC : PC-Games,7.0,48.09,2025-02,,,,21.64,26.450000000000003,Digital Full Game
3928,03-2022 : Soul Nomad (PC) : Soul Nomad STEAM,NACA-TOM-PC-VG,TOM,PC : PC-Games,63.0,367.26,2025-02,,,,165.27,201.98999999999998,Digital Full Game
3929,03-2021 : Ys IX : Ys IX Monstrum Nox STEAM,YSM1-TOM-PC-VG-P2,TOM,PC : PC-Games,32.0,902.36,2025-02,,,,,902.36,Digital Full Game
3930,03-2021 : Ys IX : Ys IX Monstrum Nox STEAM,YSM1-TOM-PC-VG-PE,TOM,PC : PC-Games,36.0,826.13,2025-02,,,,,826.13,Digital Full Game
3931,03-2021 : Ys IX : Ys IX Monstrum Nox STEAM,YSM1-TOM-PC-VG,TOM,PC : PC-Games,289.0,5534.22,2025-02,,,,,5534.22,Digital Full Game
3932,03-2021 : R-Type Final 2 : R-Type Final 2 STEAM,RTF2-TOM-PC-DLC1,TOM,PC : PC-Games,7.0,48.68,2025-02,,,,,48.68,Digital Add-on content
3933,03-2022 : NIS Classics Volume 2 : NIS Classics Volume 2 NSW,NAC2-GDS-EU-STD1,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components
3934,03-2022 : NIS Classics Volume 2 : NIS Classics Volume 2 NSW,NAC2-GDS-WS-STD1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3935,Atelier Series : Atelier Sophie,ATB4-GDS-WS-VG-PE-BOX,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3936,Atelier Series : Atelier Sophie,ATB4-GDS-WS-SPC1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3937,Atelier Series : Atelier Sophie,ATB4-GDS-WS-POS1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3938,Atelier Series : Atelier Sophie,ATB4-GDS-WS-ABK1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3939,Atelier Series : Atelier Sophie,ATB4-GDS-WS-OST1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3940,Atelier Series : Atelier Sophie,ATB4-GDS-WS-KEY1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components
3941,Atelier Series : Atelier Sophie,ATB4-PS4-WS-VG,PS4,NA Games : NA Games-STORE,,,,,,,,0.0,Physical
3942,Atelier Series : Atelier Sophie,ATB4-NSW-WS-VG,NSW,NA Games : NA Games-STORE,,,,,,,,0.0,Physical
3943,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-US-VG-DLC,PS4,NA Games,2.0,2.78,2025-01,,,,,2.78,Digital Add-on content
3944,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-US-VG-DLC,PS4,NA Games,2.0,27.98,2025-02,,,,,27.98,Digital Add-on content
3945,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-US-VG-DLC,PS4,NA Games,8.0,22.32,2025-03,,,,,22.32,Digital Add-on content
3946,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-US-VG-PSN,PS4,NA Games,23.0,524.22,2025-03,,,,,524.22,Digital Full Game
3947,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-US-VG-PSN,PS4,NA Games,18.0,462.75,2025-02,,,,,462.75,Digital Full Game
3948,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-US-VG-PSN,PS4,NA Games,36.0,782.95,2025-01,,,,,782.95,Digital Full Game
3949,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-EU-VG-DLC,PS4,EU Games,1.0,1.17,2025-01,,,,,1.17,Digital Add-on content
3950,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-EU-VG-DLC,PS4,EU Games,2.0,2.43,2025-02,,,,,2.43,Digital Add-on content
3951,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-EU-VG-DLC,PS4,EU Games,1.0,0.57,2025-03,,,,,0.57,Digital Add-on content
3952,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-EU-VG-PSNE,PS4,EU Games,33.0,640.53,2025-01,,,,,640.53,Digital Full Game
3953,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-EU-VG-PSNE,PS4,EU Games,18.0,376.96,2025-02,,,,,376.96,Digital Full Game
3954,03-2022 : Caligula Effect 2 : Caligula Effect 2 PS4,CEO2-PS4-EU-VG-PSNE,PS4,EU Games,11.0,202.17,2025-03,,,,,202.17,Digital Full Game
3955,03-2022 : Shadow Corridor : Shadow Corridor NSW,SHC1-NSW-EU-eshop,NSW,EU Games,2.0,6.92,2025-03,,,,,6.92,Digital Full Game
3956,03-2022 : Shadow Corridor : Shadow Corridor NSW,SHC1-NSW-US-eshop,NSW,NA Games,6.0,30.48,2025-03,,,,,30.48,Digital Full Game
3957,03-2022 : Shadow Corridor : Shadow Corridor NSW,SHC1-NSW-US-eshop,NSW,NA Games,12.0,60.32,2025-01,,,,,60.32,Digital Full Game
3958,03-2022 : Shadow Corridor : Shadow Corridor NSW,SHC1-NSW-US-eshop,NSW,NA Games,8.0,63.79,2025-02,,,,,63.79,Digital Full Game
3959,03-2022 : Caligula Effect 2 : Caligula Effect 2 NSW,CEO2-NSW-EU-eshop-DLC,NSW,EU Games,3.0,18.01,2025-03,,,,,18.01,Digital Add-on content
3960,03-2022 : Caligula Effect 2 : Caligula Effect 2 NSW,CEO2-NSW-EU-eshop-DLC,NSW,EU Games,1.0,0.56,2025-01,,,,,0.56,Digital Add-on content
3961,03-2022 : Caligula Effect 2 : Caligula Effect 2 NSW,CEO2-NSW-EU-eshop-DLC,NSW,EU Games,2.0,15.34,2025-02,,,,,15.34,Digital Add-on content
3962,03-2022 : Caligula Effect 2 : Caligula Effect 2 NSW,CEO2-NSW-EU-eshop,NSW,EU Games,22.0,433.28,2025-03,,,,,433.28,Digital Full Game
3963,03-2022 : Caligula Effect 2 : Caligula Effect 2 NSW,CEO2-NSW-EU-eshop,NSW,EU Games,40.0,764.01,2025-01,,,,,764.01,Digital Full Game
3964,03-2022 : Caligula Effect 2 : Caligula Effect 2 NSW,CEO2-NSW-EU-eshop,NSW,EU Games,4.0,133.64,2025-02,,,,,133.64,Digital Full Game
3965,03-2022 : Caligula Effect 2 : Caligula Effect 2 NSW,CEO2-NSW-US-eshop-DLC,NSW,NA Games,25.0,67.65,2025-01,,,,,67.65,Digital Add-on content
3966,03-2022 : Caligula Effect 2 : Caligula Effect 2 NSW,CEO2-NSW-US-eshop-DLC,NSW,NA Games,8.0,15.14,2025-02,,,,,15.14,Digital Add-on content
3967,03-2022 : Caligula Effect 2 : Caligula Effect 2 NSW,CEO2-NSW-US-eshop-DLC,NSW,NA Games,14.0,50.02,2025-03,,,,,50.02,Digital Add-on content
3968,03-2022 : Caligula Effect 2 : Caligula Effect 2 NSW,CEO2-NSW-US-eshop,NSW,NA Games,82.0,1697.27,2025-01,,,,,1697.27,Digital Full Game
3969,03-2022 : Caligula Effect 2 : Caligula Effect 2 NSW,CEO2-NSW-US-eshop,NSW,NA Games,36.0,770.28,2025-03,,,,,770.28,Digital Full Game
