game_title_id,effective_start_date,effective_end_date,version_id,game_title,release_date,contract_name,created_timestamp,created_by,updated_timestamp,updated_by
275,2022-10-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Trails from Zero:Trails from Zero EPIC,2022-09-27T00:00:00.000Z,Trails from Zero/Azure,2023-05-26T20:23:59.000Z,Nisa Retool,2023-05-26T20:23:59.000Z,Nisa Retool
276,2022-10-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Trails from Zero:Trails from Zero STEAM,2022-09-27T00:00:00.000Z,Trails from Zero/Azure,2023-05-26T20:24:21.000Z,Nisa Retool,2023-05-26T20:24:21.000Z,Nisa Retool
285,2022-11-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Trails from Zero:Trails from Zero Luna,2022-09-27T00:00:00.000Z,Trails from Zero/Azure,2023-05-31T17:03:58.000Z,Nisa Retool,2023-05-31T17:03:58.000Z,Nisa Retool
295,2023-02-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Trails to Azure:Trails to Azure NSW,2023-03-14T00:00:00.000Z,Trails from Zero/Azure,2023-06-02T00:40:43.000Z,Nisa Retool,2023-06-02T00:40:43.000Z,Nisa Retool
296,2023-02-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Trails to Azure:Trails to Azure PS4,2023-03-14T00:00:00.000Z,Trails from Zero/Azure,2023-06-02T00:41:00.000Z,Nisa Retool,2023-06-02T00:41:00.000Z,Nisa Retool
298,2023-04-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Trails to Azure:Trails to Azure STEAM,2023-03-14T00:00:00.000Z,Trails from Zero/Azure,2023-06-05T18:15:12.000Z,Nisa Retool,2023-06-05T18:15:12.000Z,Nisa Retool
245,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Fallen Legion (Porting):Fallen Legion 2 PS5,2022-08-23T00:00:00.000Z,Fallen Legion PS5/XB1,2023-05-11T17:50:53.000Z,Nisa Retool,2023-05-11T17:50:53.000Z,Nisa Retool
246,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Fallen Legion (Porting):Fallen Legion 2 XB1,2022-08-23T00:00:00.000Z,Fallen Legion PS5/XB1,2023-05-11T17:51:06.000Z,Nisa Retool,2023-05-11T17:51:06.000Z,Nisa Retool
247,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Fallen Legion (Porting):Fallen Legion 1 XBX,2022-08-23T00:00:00.000Z,Fallen Legion PS5/XB1,2023-05-11T17:51:19.000Z,Nisa Retool,2023-05-11T17:51:19.000Z,Nisa Retool
273,2022-09-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2023:Fallen Legion (Porting):Fallen Legion 2 EPIC,2022-08-23T00:00:00.000Z,Fallen Legion PS5/XB1,2023-05-25T22:23:28.000Z,Nisa Retool,2023-05-25T22:23:28.000Z,Nisa Retool
